category,content,published_date,url
/about-town," 










A scenic haven just beyond Phewa Lake, Dahlia Hotel offers a space for rejuvenation and relaxation. The hotel combines traditional Malla architecture with modern designs and includes a pool and numerous restaurants to choose from. Pokhara (61) 466505 
















Newa Chén 




 




This hotel is reminiscent of the golden era of the Malla Dynasty. The open rooms and courtyards recall the palaces of the family that once ruled the city. Kobahal, Lalitpur (01) 5533532 
















Hotel Heritage Bhaktapur 



A Newari-style boutique hotel that incorporates the rich art and architecture of the ancient city of Bhaktapur. Suryabinayak, Bhaktapur (01) 6611628 
















Hotel Barahi 



Enjoy a great view of Phewa Lake, attend cultural shows, or indulge in the scrumptious pastries from the German Bakery on the hotel premises. Lakeside, Pokhara (061) 460617/463526 
















Tuki Resort 




 




With modern structures, dedicated service and comfortable rooms, Tuki Resort offers great accommodations at an affordable price.Lakeside, Pokhara (61) 466036/466037","Fri, 08 Mar 2019 08:52:56 +0000",https://www.nepalitimes.com/about-town/womanhood-package/
/about-town," 










Baan Thai serves generous portions of flavourful Thai dishes. Try their squid salad and tom kha ghai during your next visit. Durbar Marg (01) 4231931 
















Surf & Turf 




 




Enjoy flavours from land and sea, with trout and pork belly served alongside spinach and seasonal vegetables, lamb shank and buhari fillet served with mushrooms and cocktail onions, or seafood and bacon risotto. (See page 4.)14-28 January, 6pm-10pm, Rox Restaurant, Hyatt Regency, 9802050429 
















Anatolia 



Anatolia’s Indian and Turkish dishes are packed with spices and an unforgettable array of flavours. From the Mutton Kofta Curry to the Baklava, these dishes will keep you wanting more. All the food is halal.Thamel (01) 4258757 
















Bayleaf 




 




Bayleaf is back after a long hiatus. Visit their newly renovated restaurant and indulge in their wide variety of Burmese dishes. The Tofu Thoke is not to be missed!Tangal, opposite to Attic Bar (01) 4437490 
















Starry Night BBQ 



Enjoy Shangri-La’s Starry Night BBQ with a live performance by Tattwo band every Friday night. 7pm onwards, Hotel Shangri-La, Lazimpat, Rs2,000 per person (01)4412999","Fri, 08 Mar 2019 08:24:04 +0000",https://www.nepalitimes.com/about-town/gangnam-galbi-barbeque/
/about-town," 










Enjoy the acoustic sounds of up-and-coming musician Aabhiskar KC.      (adsbygoogle = window.adsbygoogle || []).push({}); 17 January, 7pm-10pm, The Triangle Restaurant & Bar, Thamel, 9849485534 
















Deaf Panda 



Listen to the best of R&B and soul in this performance by Deaf Panda.17 January, 6pm-10pm, Moksh, Jhamsikhel (01) 5528362 
















Sugam Pokharel 




 




Nepali pop singer Sugam Pokharel will be igniting the stage with his electric voice. House DJs will be opening for him.18 January, 8pm onwards, Club Fahrenheit, Thamel (01) 4441220 
















Samriddi Rai & Rohit Chettri 



Samriddhi Rai and Rohit John Chettri will be performing together for the very first time. Catch their duet renditions of “Ma Dami Chu” and “Bistarai Bistarai”.17 January, 6pm onwards, Tickets: Rs1,500, Privé Nepal, Tahachal Marg, 9801090111      (adsbygoogle = window.adsbygoogle || []).push({}); 
















Acoustic Friday
 



Kuma Sagar Bhaktapurian, known for his hit single “Sadhai Sadhai”, will be performing alongside the house band.17 January, 6pm-9pm, The Blues Lounge and Bar, Bhaktapur (01) 6635921","Fri, 08 Mar 2019 08:12:15 +0000",https://www.nepalitimes.com/about-town/950-music/
/about-town," 










Bhojpur Trail Race 



The Mira Rai Initiative presents a documentary about the Bhojpur Trail Race, a charity race established by runner Mira Rai. The event will also unveil the 5th edition of the race. 17 January, 3pm-5pm, Nepal Tourism Board, Bhrikutimandap (01) 4256909 
















Grafting Workshop 




 




Learn how to graft high value and exotic fruit and nut trees using local rootstocks. This workshop is perfect for anyone who wants to plant trees at home or commercially.23 January, 11am-4pm, 5oeb Farm, Panauti, Kavre, 9803218967 
















Book Launch 




 




“Boudha – Restoring the Great Stupa” is a book of images created by Nepali photographer, Mani Lama. The book looks at the past and present of Boudha, explores its significance to Buddhists and its rich history. 18 January, 2pm onwards, The Taragaon Museum, Boudha (01) 6201035      (adsbygoogle = window.adsbygoogle || []).push({}); 
















Splashes of Hope
 



Rotaract Club of Himalaya Patan invites you to paint with your friends in support of Yubraj Shrestha, who is seeking financial assistance for a kidney transplant. All proceeds will be used to fund his treatment.18 January, 11am-5pm, Rs350 per person, The Garden Cafe, Chyasal 
















Research Seminar 



Prakash Subedi’s “The ‘Secular State’ and the ‘Holy Cow’: Representation of Minority Religions in Nepali Literature”, explores contemporary Nepali literature’s engagement with ethnic, linguistic and socio-economic inclusion. 21 January, 3pm onwards, Martin Chautari Seminar Hall, Thapathali (01) 4102027 
















Heartfulness Meditation
 




 




This 3-day meditation workshop will teach you to be more mindful and to understand the unique benefits of breathing deeply.19-21 January, 7am-9am, Yogmandu Studio, Mid-Baneswor, 9862909469 
















Character Designing 
 



Improve your skills as a visual storyteller and learn to design characters with this 24-class workshop with illustrator Prakash Ranjit. Registration: bit.ly/drawyourstories18 January-5 April (Every Saturday and Sunday), 9am-12pm, Rs8,000 per person, Sattya Media Arts Collective, Jawalakhel (01) 5521812 
















Book Launch 




 




Boudha – Restoring the Great Stupa is a book of images by photographer Mani Lama. It explores the stupa’s rich history and and its significance to Buddhists. (See page 7.) 18 January, 2pm onwards, The Taragaon Museum, Boudha (01) 6201035      (adsbygoogle = window.adsbygoogle || []).push({}); 
















Blockout x Camp 4
 



Meet artists and designers, learn more about screen printing on clothes, purchase original artwork and enjoy a rooftop jam session.18 January, 2pm-9pm, Helena’s Restaurant, Chaksibari, 9828881787","Fri, 08 Mar 2019 07:38:40 +0000",https://www.nepalitimes.com/about-town/events/950-events/
/business," 
















The 33rd Annual General Meeting (AGM) of Nepal Investment Bank Ltd (NIBL) was held on 13 January at National Assembly Hall. In the meeting, NIBL officials decided to distribute 19% dividend, 10.5% stock dividend (bonus shares) and 8.5% cash dividend, on its total paid-up capital to the shareholders.      (adsbygoogle = window.adsbygoogle || []).push({}); 
















","Thu, 16 Jan 2020 09:45:56 +0000",https://www.nepalitimes.com/business/nibl/
/business," 
















Ncell has launched a weekly plan on 14 January under its existing ‘Mero Plan’ for prepaid customers, allowing customers to enjoy data and voice services at more affordable rates. The launch announced a 2GB and 6GB plan in addition to the existing monthly plans.      (adsbygoogle = window.adsbygoogle || []).push({}); 
















","Thu, 16 Jan 2020 09:44:44 +0000",https://www.nepalitimes.com/business/ncell/
/business," 
















Qatar Airways has launched a codeshare partnership with Deutsche Bahn offering the airline’s passengers seamless railway connection to and from eight key destinations in Germany like Stuttgart, Nuremberg, Hannover, Leipzig, Cologne, Dusseldorf, Munich, and Hamburg.      (adsbygoogle = window.adsbygoogle || []).push({}); 
















","Thu, 16 Jan 2020 09:43:10 +0000",https://www.nepalitimes.com/business/qatar-and-deutsche-bahn/
/business," 
















Turkish Airlines will be launching a new destination in the Equitorial Guinea capital of Malabo on 7 Februart via Por Harcourt in Nigeria with thrice weekly flights. Malabo will be the carrier’s 318th destination.       (adsbygoogle = window.adsbygoogle || []).push({}); 
















","Thu, 16 Jan 2020 09:41:26 +0000",https://www.nepalitimes.com/business/turkish-to-malabo/
/business," 
















The World Bank has approved an additional credit of $200 million to the Earthquake Housing Reconstruction Project (EHRP) in Nepal towards Nepal’s umbrella Housing Reconstruction Program to rebuild earthquake-resistant core housing units by providing housing grants to eligible beneficiaries who have enrolled in the program. The impact of the earthquakes is estimated at 35 percent of Nepal’s Gross Domestic Product (GDP) with recovery needs of about US$ 7 billion.      (adsbygoogle = window.adsbygoogle || []).push({}); 
















","Thu, 16 Jan 2020 09:37:44 +0000",https://www.nepalitimes.com/business/world-bank/
/business," 
















]dropcap]O[/dropcap]n 4 January Sanima Bank Pokhara gifted Himalaya Eyes Hospital a water purification system to provide clean drinking water for the patients and hospital staff.       (adsbygoogle = window.adsbygoogle || []).push({}); 
















","Thu, 09 Jan 2020 14:36:11 +0000",https://www.nepalitimes.com/business/sanima-bank/
