url,content,category,published_date
https://english.onlinekhabar.com/nrb-preparing-to-review-monetary-policy.html,"File image: Nepal Rastra Bank
Kathmandu, January 31
The central bank is preparing to conduct a biannual review of this fiscal year’s monetary policy as the first half has recently been over. A senior official at the Nepal Rastra Bank says the review will begin next week.
He reveals that the review will address multiple concerns that the stakeholders have been raising.
In particular, commercial banks, financial institutions and automobile entrepreneurs are keeping an eye on the review. Recently, the Nepal Bankers Association, a group of commercial banks, had submitted a memorandum to the central bank demanding amendments to some of the provisions of the policy. The bankers have also consulted Finance Minister Yuba Raj Khatiwada in this regard.
Likewise, auto entrepreneurs want the central bank to relax its provision on auto loans. Sources say the minister is already convinced on the demand.
Meanwhile, the central bank has hinted that it can partially address the demands.",/business,"Fri, 31 Jan 2020 06:23:53 +0000"
https://english.onlinekhabar.com/noc-withdraws-from-gas-pipeline-project-after-pms-objection.html,"Representational image: Petroleum pipeline
Kathmandu, January 29
The government-run fuel distribution monopoly, Nepal Oil Corporation, has withdrawn from its proposal to open a pipeline from Motihari of India to Chitwan of Nepal for the transport of liquified petroleum gas.
After the successful operation of the petroleum pipeline from Motihari to Amalekhgunj, the corporation had floated the proposal and India had also expressed its interest. However, Prime Minister KP Sharma Oli opposed the plan saying Nepal was preparing its own alternative to replace the cooking gas, forcing the corporation to drop the plan.
Stating that the government had a plan to promote electricity production in the country, the prime minister reportedly told the officials, “Let’s focus on the transport and storage of petrol and diesel only. The alternative to gas will be ready in our own country.”
While floating a proposal to extend the petroleum pipeline up to Lothar of Chitwan, the corporation had also proposed establishing a parallel pipeline for the LPG supply.",/business,"Wed, 29 Jan 2020 08:11:14 +0000"
https://english.onlinekhabar.com/know-the-new-ceo-of-nepal-tourism-board.html,"Dhananjay Regmi. Photo courtesy: https://www.facebook.com/dj.regmi/
Kathmandu, January 29
The government on Tuesday appointed Dhananjay Regmi as the chief executive officer of Nepal Tourism Board, the government authority dedicated to developing the lucrative industry of the country. As Regmi starts off his four-year tenure, he has the challenge to make the ambitious Visit Nepal Year 2020 campaign a success.
A selection panel led by Kedar Bahadur Adhikari, the secretary at the Ministry of Culture, Tourism and Civil Aviation, unanimously appointed him to the position. Besides him, eight others including the immediate past CEO Deepak Raj Joshi had filed applications for the position. Last week, the government had shortlisted three after a written test and interviews.
Who is Regmi?
Regmi is a tourism and environment ‘campaigner’. He was educated in the United States and Japan. In the past, he also taught geography at Tribhuvan University and Budhanilakantha School in Kathmandu.
Of late, Regmi has been working as a consultant for various projects related to environment and climate change. He is also a businessman. He owns various enterprises in auto, tourism and hospitality industries. He has also invested in a few hydropower projects.
He is interested in lowering the outburst risk of glacial lakes by utilising the water there to produce electricity. Regmi says he has been studying if it is possible in Nepal.
Though Regmi was involved in the student wing of the then CPN-UML in the past, he is not a political figure. However, he is believed to have sympathy for the ruling Nepal Communist Party.",/business,"Wed, 29 Jan 2020 03:09:25 +0000"
https://english.onlinekhabar.com/after-asphyxiation-deaths-hotels-told-to-abide-by-govt-standards.html,"
Kathmandu, January 27
After the death of eight Indian tourists at a hotel in Daman of Makawanpur district last week, the Hotel Association Nepal has told its members to completely abide by the government standards introduced for hotels and resorts.
The government has recently issued a new set of rules for hotels and other hospitality facilities. The standards are different for different categories.
Concluding that the Daman-based hotel’s inability to provide air conditioners forced the visitors to use heaters during the nighttime and they caused asphyxiation, the association urged the facilities to implement the standards strictly, though one week after the incident.
Among other provisions, the new rule requires hotels of all levels to provide an air conditioner to each of the rooms.",/business,"Mon, 27 Jan 2020 10:38:50 +0000"
https://english.onlinekhabar.com/mobile-app-allows-traders-to-deposit-customs-online.html,"
Kathmandu, January 26
The government on Sunday launched a mobile app that would allow the traders to deposit customs from any place online.
Finance Minister Yuba Raj Khatiwada made the app ‘Nepal Customs Clearance’ public on the occasion of 68th International Customs Day during a function organised in Kathmandu today.
Suman Dahal, director general at the Department of Customs, says the app would take the department towards automation. He was of the view that it took the department into every Nepali’s pocket.
The app is available on Play Store for Android phones.",/business,"Sun, 26 Jan 2020 06:20:47 +0000"
https://english.onlinekhabar.com/avalanche-asphyxiation-deaths-in-the-first-vny-month-alarm-officials-entrepreneurs.html,"
Kathmandu, January 26
Just two weeks after Nepal enthusiastically inaugurated the ambitious Visit Nepal Year 2020 campaign with a target of bringing in at least two million foreign tourists in one year, seven people including four foreigns went missing in an avalanche in the Annapurna trekking region.
A few days after that, eight Indian national died of asphyxiation as they switched on a heater to warm the room before going to bead at a poorly equipped hotel in Daman of Makawanpur district, near Kathmandu.
Whereas many have thought these incidents would have an adverse impact on the country’s wish to aggressively promote the tourism industry. Concerned officials and entrepreneurs alike also view that these incidents have become alarms to them.
Rudra Singh Tamang, the spokesperson at the Ministry of Culture, Tourism and Civil Aviation, however, maintains that the government is serious about avoiding such incidents in the future. “There are many works being done to give a message that Nepal is a safe destination.”
The entrepreneurs, however, are more worried. “Such incidents apparently affect tourist arrival. The government’s role should be more active in such situations,” he says.
Meanwhile, some stakeholders view that the absence of the chief executive officer at Nepal Tourism Board would also affect the campaigning. It has been more than one month since the incumbent Deepak Raj Joshi retired, but the government has not been able to find his successor yet.",/business,"Sun, 26 Jan 2020 05:07:34 +0000"
https://english.onlinekhabar.com/inter-network-phone-tariff-to-go-down-after-april.html,"
Kathmandu, January 24
The telecommunications regulatory body of the country, Nepal Telecommunications Authority, has directed telephone service providers to decrease the charge they impose on inter-network calls. The directive will come into effect on April 2.
The authority recently issued the Interconnection Guideline requiring the companies to decrease the charge. The authority’s spokesperson and director Min Prasad Aryal says the customers can directly benefit from the new rule. “After it is implemented, companies earn more profit. Based on that, they have to decrease the call tariff.”
Whereas other interconnection charges have been slashed, the guideline has increased the cost of calling a landline number from a mobile phone.
Many international companies have already removed the provision of interconnection charges. The government of Nepal, however, has adopted a policy of gradually phasing it out.",/business,"Fri, 24 Jan 2020 07:34:35 +0000"
https://english.onlinekhabar.com/20-nac-pilots-warn-of-resigning-en-masse.html,"File image: A Nepal Airlines aircraft
Kathmandu, January 24
As many as 20 pilots of the national flag carrier, Nepal Airlines Corporation, have warned of resigning in masse, urging the management to end the discrimination they have been facing.
The pilots have claimed that there is a gap between facilities and services given to them and other foreign pilots recruited by the government-run corporation on contract. They have given the management three months’ time to meet the demand, threatening they would quit otherwise.
The ‘resignation notice’ dated January 17 was registered at the NAC Office of the Executive Chairman on Thursday evening.
“The management is happy in hiring expensive expatriate pilots or pilots on contract with a much higher salary,” the letter reads, “But nothing has been done to replace such expensive pilots with its own in-house pilots or to increase the salary and benefits of its permanent pilots.”
All the disgruntled pilots have been flying international flights of the national flag carrier.
Earlier this week, the executive chairman of the corporation, Madan Kharel had resigned. Minister for Culture, Tourism and Civil Aviation Yogesh Bhattarai has authorised his ministry’s secretary Kedar Bahadur Adhikari to lead the corporation as the acting chair.",/business,"Fri, 24 Jan 2020 06:13:27 +0000"
https://english.onlinekhabar.com/world-bank-to-support-expanding-pathalaiya-dhalkebar-road.html,"
Kathmandu, January 23
The government has launched a project to expand a section of the East-West Highway, from Pathalaiya of Bara to Dhalkebar of Dhanusha district, into four lanes. The World Bank has expressed its readiness to provide a fund for the project as a subsidised loan.
Keshav Kumar Sharma, the director-general at the Department of Roads, says the agreement for the loan, however, is yet to be signed formally. After the signing, the government will take initiatives for preparing a detailed project report and designing. It is expected that the design will take around one year.
The 121-km road will be divided into different sections for the ease of expansion. The division is necessary as different parts have different geographical, environmental and ecological conditions and the expansion plan has to be made accordingly, according to Sharma.
“The design will also address issues such as removing roadside structures, cutting down trees and relocating poles,” he says.",/business,"Thu, 23 Jan 2020 08:09:22 +0000"
https://english.onlinekhabar.com/govt-freezes-bank-accounts-of-two-sugar-mills-for-not-paying-dues-to-farmers.html,"File: Annapurna Sugar Mill
Kathmandu, January 22
The Ministry of Industry, Commerce and Supplies has written to the central bank, directing it to freeze all bank accounts of two sugar mill operators who failed to pay outstanding dues to sugarcane farmers.
Consequently, the accounts of Annapurna Sugar Mill and Lumbini Sugar Mill have been frozen.
Earlier a few weeks ago, the owners had made a commitment to paying the dues by Tuesday. The government had intervened to make the sugar mill operators hold a talk after the farmers launched a protest in Kathmandu.
Meanwhile, the Department of Revenue Investigation has also been directed to investigate into transactions of the two companies.",/business,"Wed, 22 Jan 2020 10:35:44 +0000"
